date;hour;action
2024-01-29;15:43:32;1
2024-01-29;15:20:33;1
2024-01-25;10:24:55;1
2024-01-24;12:15:36;1
2024-01-24;10:45:36;1
2024-01-24;10:36:25;1
2024-01-24;10:32:23;1
2024-01-24;09:56:17;1
2024-01-24;08:51:56;1
2024-01-22;18:11:00;1
2024-01-22;18:09:56;1
2024-01-22;16:39:07;1
2024-01-22;16:38:38;1
2024-01-22;10:58:28;1
2024-01-22;10:57:57;1
2024-01-22;10:56:58;1
2024-01-18;15:02:00;1
2024-01-18;15:01:17;1
2024-01-18;15:00:00;1
2024-01-18;14:59:29;1
2024-01-17;17:36:04;1
2024-01-17;12:09:49;1
2024-01-17;12:08:45;1
2024-01-17;12:07:50;1
2024-01-15;09:42:58;1
2024-01-15;09:40:13;1
2024-01-15;09:39:03;1
2024-01-11;10:28:49;1
2024-01-11;09:41:18;1
2024-01-11;09:38:17;1
2024-01-10;09:32:40;1
2024-01-15;08:42:11;1
2024-01-10;09:30:15;1
2024-01-10;08:31:21;1
2024-01-10;08:29:25;1
2024-01-10;08:29:04;1
2024-01-08;10:27:40;1
2023-12-20;10:17:03;1
2024-01-08;10:26:20;1
2024-01-08;10:02:56;1
2024-01-08;10:02:25;1
2024-01-08;08:47:40;1
2024-01-08;08:45:01;1
2024-01-06;17:30:29;1
2024-01-06;17:11:22;1
2024-01-06;17:05:01;1
2024-01-06;14:56:12;1
2024-01-06;11:28:53;1
2024-01-06;10:13:34;1
2023-12-04;09:44:50;1
2024-01-05;19:13:41;1
2024-01-05;18:06:32;1
2024-01-05;17:32:06;1
2024-01-05;17:09:16;1
2024-01-05;17:08:46;1
2024-01-05;16:59:40;1
2024-01-05;16:12:38;1
2024-01-05;16:09:22;1
2024-01-05;15:53:56;1
2024-01-05;14:31:04;1
2024-01-05;14:26:04;1
2024-01-05;14:25:36;1
2024-01-05;14:25:09;1
2024-01-05;14:24:31;1
2024-01-05;14:15:56;1
2024-01-05;14:15:16;1
2024-01-05;12:22:49;1
2024-01-05;11:28:43;1
2024-01-05;10:54:19;1
2024-01-05;10:49:28;1
2024-01-05;10:41:44;1
2024-01-04;12:16:32;1
2024-01-03;10:45:48;1
2024-01-03;10:23:26;1
2024-01-03;09:55:29;1
2024-01-03;08:59:15;1
2024-01-02;12:35:48;1
2024-01-02;12:35:28;1
2024-01-02;11:42:10;1
2024-01-02;11:29:43;1
2024-01-02;11:23:34;1
2024-01-02;11:23:14;1
2023-12-19;12:16:44;1
2023-12-29;13:01:24;1
2023-12-29;13:01:12;1
2023-12-29;12:59:50;1
2023-12-29;11:08:02;1
2023-12-28;14:59:50;1
2023-12-28;14:59:16;1
2023-12-28;14:44:11;1
2023-12-19;11:42:20;1
2023-12-18;15:13:43;1
2023-12-18;15:02:38;1
2023-12-18;14:53:15;1
2023-12-18;12:25:21;1
2023-12-18;12:10:24;1
2023-12-18;11:31:21;1
2023-12-18;11:25:50;1
2023-12-15;17:58:46;1
2023-12-15;17:57:08;1
2023-12-15;16:26:12;1
2023-12-15;11:57:37;1
2023-12-15;11:37:40;1
2023-12-15;10:38:01;1
2023-12-15;08:58:16;1
2023-12-14;17:48:01;1
2023-12-14;15:37:13;1
2023-12-14;15:17:16;1
2023-12-14;14:49:59;1
2023-12-14;14:00:11;1
2023-12-14;13:51:47;1
2023-12-14;13:48:44;1
2023-12-14;13:44:59;1
2023-12-14;13:44:42;1
2023-12-14;12:13:21;1
2023-12-14;11:25:52;1
2023-12-14;10:11:55;1
2023-12-14;10:02:46;1
2023-12-14;09:51:41;1
2023-12-13;18:35:40;1
2023-12-18;15:12:07;1
2023-12-12;16:31:02;1
2023-12-12;16:29:58;1
2023-12-12;16:27:02;1
2023-12-12;16:24:48;1
2023-12-11;15:14:14;1
2023-12-11;15:12:59;1
2023-12-11;10:56:47;1
2023-12-11;10:01:00;1
2023-12-05;17:07:45;1
2023-12-04;11:31:16;1
2023-12-04;09:43:29;1
2023-11-30;15:50:01;1
2023-12-11;09:47:38;1
2023-12-08;11:33:25;1
2023-12-08;11:33:08;1
2023-12-08;10:45:25;1
2023-12-05;17:04:35;1
2023-11-30;15:38:18;1
2023-11-30;12:51:50;1
2023-11-29;11:20:57;1
2023-11-29;11:17:11;1
2023-11-29;11:15:53;1
2023-11-29;11:14:48;1
2023-11-29;11:13:48;1
2023-11-29;11:13:27;1
2023-11-22;16:21:02;1
2023-11-21;16:09:22;1
2023-11-21;11:00:19;1
2023-11-20;11:04:59;1
2023-11-17;16:59:12;1
2023-11-17;16:58:55;1
2023-11-17;16:57:52;1
2023-11-17;16:53:17;1
2023-11-17;16:53:05;1
2023-11-17;15:16:00;1
2023-11-17;13:01:22;1
2023-11-17;11:15:34;1
2023-11-17;10:20:38;1
2023-11-17;10:20:22;1
2023-11-17;10:18:17;1
2023-11-17;08:13:24;1
2023-11-16;17:31:04;1
2023-11-16;11:58:12;1
2023-11-16;11:37:24;1
2023-11-16;11:30:22;1
2023-11-16;09:37:45;1
2023-11-16;08:27:31;1
2023-11-16;08:22:55;1
2023-11-16;08:22:02;1
2023-11-16;08:12:00;1
2023-11-16;08:11:41;1
2023-11-16;08:06:57;1
2023-11-16;08:04:35;1
2023-11-16;08:02:18;1
2023-11-22;17:45:19;1
2023-11-14;15:35:11;1
2023-11-14;15:34:24;1
